1,1.85,0.917,120,,0.046,0.667,0.474,318,,0.16
2,-2.914,1.487,117,,0.05,-2.021,0.795,357,,0.012
3,57.8,,216,2.72,0.007,80.28,,360,3.25,0.001
4,38.26,,162,2.559,0.01,35.73,,264,2.995,0.003
5,23.852,11.2,72,,0.033,5.204,9.197,168,,0.571
6,0.052,,158,,0.001,0.167,,156,7.714,
7,-0.16,,54,-2.449,0.014,0.03,,96,0.42,0.674
8,0.65,,168,,0.0001,0.61,,128,,0.0005
18,0.32,,112,,0.03,0.22,,262,,0.055
9,0.262,0.103,60,,0.011,0.219,0.098,102,,0.026
10,0.643,,78,,4.00E-11,0.504,,40,,0.004
11,-0.627,0.182,124,,0.001,-0.605,0.16,128,,
12,-33.43,6.91,120,,0.0039,-14.23,6.77,160,,0.142
13,2.997,1.352,58,,0.031,-0.057,0.672,131,,0.993
14,0.383,,288,9.413,1.63E-18,0.239,,48,,0.016
15,0.355,,120,-2.402,0.016,0.108,,220,-2.594,0.01
16,-2.739,0.651,126,,0.000026,-2.534,0.773,90,,0.001
17,-0.116,0.064,42,-1.8125,0.07,0.045,0.032,144,1.40625,0.154
Study,Estimate1,SE1,Obs1,z-statistic1,p-val1,Estimate2,SE2,Obs2,z-statistic2,p-val2
