"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"1",3.5,8,3.5,0.00807908226041176,TRUE,2.21359436211787,1.16666666666667,0.93,1.23995160534825,0.354271887242357,-1.23995160534825,-3.5,FALSE
"2",1.07,8,1.07,0.315837099826908,FALSE,0.676727419276033,0.356666666666667,0.93,0.379070919349322,0.354271887242357,-0.379070919349322,-1.07,FALSE
"5",0.68,8,0.68,0.515695897083984,FALSE,0.4300697617829,0.226666666666667,0.93,0.240904883324803,0.354271887242357,0.240904883324803,0.68,FALSE
"6",2.35,8,2.35,0.0466812572704689,TRUE,1.48627050027914,0.783333333333333,0.93,0.83253893501954,0.354271887242357,0.83253893501954,2.35,FALSE
"7",3.791,8,3.791,0.00530425991658823,TRUE,2.39763892193967,1.26366666666667,0.93,1.34304472453578,0.354271887242357,1.34304472453578,3.791,FALSE
"8",3.147,8,3.147,0.013660160199886,TRUE,1.99033755930998,1.049,0.93,1.1148936291517,0.354271887242357,1.1148936291517,3.147,FALSE
"9",2.6,78,2.6,0.0111463944389671,TRUE,0.581377674149945,0.292522854240766,0.72,0.373402203815336,0.143616232236668,0.373402203815336,2.6,FALSE
"10",2.1,78,2.1,0.0389612390455008,TRUE,0.469574275274956,0.236268459194465,0.72,0.301594087697002,0.143616232236668,-0.301594087697002,-2.1,FALSE
"11",3.3,97,3.3,0.00135333518124381,TRUE,0.66332495807108,0.33335033970223,0.72,0.425743232845508,0.129013100862275,0.425743232845508,3.3,FALSE
"12",2.15,97,2.15,0.0340416570430397,TRUE,0.432166260561461,0.217182797078725,0.72,0.277378166853891,0.129013100862275,-0.277378166853891,-2.15,FALSE
"13",3.05,39,3.05,0.00410091230216292,TRUE,0.952659947520497,0.482247343175678,0.72,0.613962872392227,0.201299302423681,0.613962872392227,3.05,FALSE
"14",2.27,38,2.27,0.0289644197930854,TRUE,0.717837028858222,0.363490909137548,0.72,0.462707822659337,0.203836045224377,0.462707822659337,2.27,FALSE
