"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"4639",2.29,25,2.29,0.0307314977686985,TRUE,0.881421410962829,0.449105949466441,0.72,0.57015427868543,0.248975667548223,0.57015427868543,2.29,FALSE
"6178",2,23,2,0.0574445489920827,FALSE,0.8,0.408248290463863,0.72,0.517938769133981,0.258969384566991,-0.517938769133981,-2,FALSE
"20559",2.3,32,2.3,0.0281192090431031,TRUE,0.788893491655541,0.400378608698105,0.72,0.509162775926187,0.221375119967907,0.509162775926187,2.3,FALSE
"18135",2.249,29,2.249,0.0322774227943685,TRUE,0.807864648516434,0.41060934394304,0.72,0.52184082922359,0.232032382936234,-0.52184082922359,-2.249,FALSE
"26683",2.03,665,2.03,0.0427541107303051,TRUE,0.15720382781046,0.078660902216651,0.72,0.100652921382918,0.0495827198930629,-0.100652921382918,-2.03,FALSE
"19267",0.83,18,0.83,0.417411493893046,FALSE,0.371187284264965,0.190415059112566,0.72,0.241031282155238,0.290399135126793,0.241031282155238,0.83,FALSE
"23704",2.59,9,2.59,0.0292134735340883,TRUE,1.56182876491282,0.81902991398361,0.93,0.871025833548654,0.336303410636546,-0.871025833548654,-2.59,FALSE
"21193",0.93,17,0.93,0.365389979637335,FALSE,0.426713264999245,0.21920310216783,0.72,0.277305947760626,0.298178438452286,0.277305947760626,0.93,FALSE
"26808",5.308,9,5.308,0.000488663940726219,TRUE,3.20084443403754,1.67853698201738,0.93,1.78509850365879,0.336303410636546,1.78509850365879,5.308,FALSE
"11684",1.57,12,1.57,0.142395326006269,FALSE,0.839200299605013,0.435439654036805,0.72,0.548492634795903,0.34935836611204,-0.548492634795903,-1.57,FALSE
"16424",1.35,32,1.35,0.18648839817053,FALSE,0.463046179884774,0.235004835540192,0.72,0.298856411956675,0.221375119967907,-0.298856411956675,-1.35,FALSE
"11874",4.69,11,4.69,0.000660758516649151,TRUE,2.60154392029632,1.35388638124967,0.72,1.70323049218274,0.363162151851329,-1.70323049218274,-4.69,FALSE
"21102",0.728,23,0.728,0.473960549777595,FALSE,0.2912,0.148602377728846,0.72,0.188529711964769,0.258969384566991,-0.188529711964769,-0.728,FALSE
"17512",2.46,9,2.46,0.0361586469192348,TRUE,1.4834358153226,0.777920304401421,0.93,0.827306390165904,0.336303410636546,-0.827306390165904,-2.46,FALSE
"25839",3.33,65,3.33,0.00143437813808855,TRUE,0.813648499412993,0.409894664961178,0.72,0.522945738607686,0.15704076234465,-0.522945738607686,-3.33,FALSE
"13123",0.517,178,0.517,0.605797959165185,FALSE,0.0770698096244928,0.0386423942952751,0.72,0.049402070587456,0.0955552622581355,-0.049402070587456,-0.517,FALSE
"22287",0.46,198,0.46,0.646020945073233,FALSE,0.0650538238691624,0.0326085354303835,0.72,0.0416932161932416,0.0906374265070469,-0.0416932161932416,-0.46,FALSE
"10481",3.77,6,3.77,0.00928872800997294,TRUE,2.66579256507328,1.42492606324479,0.93,1.51178671837278,0.40100443458164,1.51178671837278,3.77,FALSE
"24879",3.8,6,3.8,0.00896779994606112,TRUE,2.68700576850888,1.43626499743506,0.93,1.52381685141023,0.40100443458164,1.52381685141023,3.8,FALSE
